file,raw_hrr,scaled_linear,affine_linear,cychrr_t,dataset,target,scenario,ID
A536.xlsx,0.024627896271290448,0.028316150045442617,0.026238715976045428,0.03156828240814797,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A538.xlsx,0.028688524590163928,0.01955533580615316,0.02013706168061243,0.021554341226472356,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A543.xlsx,0.06857142857142857,0.04252161177974011,0.04095967679810323,0.03415062478892273,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A547.xlsx,0.008252427184466024,0.03263506516198597,0.03458136600707401,0.04253444727520326,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A577.xlsx,0.06623931623931623,0.04464177445726481,0.04283753155799232,0.03711376902335869,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A582.xlsx,0.04687499999999996,0.05484772969842665,0.058059176560647026,0.062199604565794674,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A600.xlsx,0.03194444444444444,0.05451074763026433,0.057385463106229016,0.06343577620173359,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A1085.xlsx,0.12355371900826444,0.09730977523546953,0.0958209980315976,0.08693084970479988,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A1086.xlsx,0.0682808716707022,0.04860184483561634,0.046213893271513116,0.046352830985517846,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A1088.xlsx,0.034554334554334556,0.05461522668044221,0.05613341575875485,0.06312030092717484,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A1096.xlsx,0.023376623376623353,0.017507757178385288,0.015471964807619159,0.021286085502719876,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A1106.xlsx,0.04846335697399529,0.024821405027095723,0.0252541246308385,0.020375667847807977,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A1108.xlsx,0.021296296296296303,0.010374411838225637,0.010587921138691095,0.017766870860587102,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A1116.xlsx,0.023774612484289866,0.03959090967960013,0.04185183641449881,0.04886911427084556,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A1117.xlsx,0.044534412955465584,0.02304351448113278,0.02181586672248964,0.02139297838301787,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A1120.xlsx,0.027979553403282207,0.030244651250203758,0.029089567201687958,0.03713399153080822,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A202.xlsx,0.09083469721767594,0.06181939846352211,0.06137502101633751,0.050360185932265426,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A203.xlsx,0.07319095998341278,0.05065167326396863,0.049845847267136124,0.04207143320025176,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A204.xlsx,0.07737160798385283,0.053347798823108784,0.05258316660679473,0.04635783938733956,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A205.xlsx,0.015795206971677606,0.019100003670627964,0.021433682617442912,0.028589355673046796,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A207.xlsx,0.10097087378640772,0.07365866441266415,0.07257246874064675,0.06286584364450812,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A208.xlsx,0.10000000000000009,0.07105575912034623,0.07058460313799103,0.06037884026739157,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A220.xlsx,0.06136065769093295,0.04006615543317832,0.03969387563584463,0.03192686464207066,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A221.xlsx,0.05714285714285714,0.0420147435436768,0.03952614844539048,0.039508482061673546,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A226.xlsx,0.08388888888888894,0.058387731058673835,0.05650388421570152,0.05204097714736017,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A232.xlsx,0.028968253968253956,0.014254430056243727,0.014500951048602518,0.0148700969749602,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A236.xlsx,0.020506912442396347,0.01602217947017506,0.019117365738406684,0.02074305548966248,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A237.xlsx,0.03248847926267279,0.018391381384153502,0.016173738501968286,0.02072815487919432,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A238.xlsx,0.043457382953181294,0.019544112200046402,0.01681351512225271,0.01656386018260932,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A239.xlsx,0.033316048742546,0.04663257273817178,0.04720161109127352,0.054544587702801926,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A240.xlsx,0.031126596980255494,0.024758715430791476,0.02370678847725228,0.027481921823773386,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A241.xlsx,0.06774475524475522,0.04208136119557988,0.04037380076322528,0.03407930494673546,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A246.xlsx,0.03454415954415954,0.050506428468531574,0.05331996243011348,0.05949566587864452,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A251.xlsx,0.1216374269005848,0.09525168504605555,0.09381634519793852,0.08481605906018005,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A274.xlsx,0.04488493962178174,0.0679309613748125,0.07062489237594685,0.07703615670060335,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A275.xlsx,0.0371900826446281,0.06009315627456717,0.06284095803061385,0.06915137838735513,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A294.xlsx,0.04457142857142858,0.024103555943768246,0.02134129794862072,0.021275515028706577,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A295.xlsx,0.057127882599580744,0.03424093098150826,0.031988148063125756,0.02898751367957489,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A3000.xlsx,0.03365384615384613,0.04077108218776646,0.04278292734019458,0.04953287501846077,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A3001.xlsx,0.08230947293447297,0.09482200312513582,0.098029687227453,0.10338753316453797,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A3002.xlsx,0.05102040816326533,0.03432180765577272,0.03573807228864281,0.0287907409220349,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A3003.xlsx,0.037878787878787894,0.03059848317742464,0.028774161657646957,0.03479117415287623,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A3005.xlsx,0.06250000000000003,0.03640843670704281,0.034862234114818653,0.02631845182710523,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A3008.xlsx,0.01775775245163001,0.036766458093688774,0.038984230370027226,0.04638093609001115,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
A3009.xlsx,0.010808473843493297,0.015361186808034543,0.016505784989609935,0.02326359840182852,Graded-test temporal holdout,load_fraction,exclude HRR >= 0.95,
