file,raw_linear,scaled_linear,affine_linear,cycling_tail,dataset,target,representation,ID
A3051.xlsx,0.062015503875969005,0.042282101725857155,0.040868447198827415,0.03099766548285789,Graded-test temporal holdout,load_fraction,continuous,
A3052.xlsx,0.03503503503503502,0.02332887565209032,0.024931816648490583,0.020291381620796092,Graded-test temporal holdout,load_fraction,continuous,
A3053.xlsx,0.029323308270676664,0.020847697806684558,0.018608973097549792,0.015944957578717223,Graded-test temporal holdout,load_fraction,continuous,
A3056.xlsx,0.045595238095238085,0.028506511223166824,0.026419663616380856,0.02269386280911103,Graded-test temporal holdout,load_fraction,continuous,
A3057.xlsx,0.10597251585623679,0.08600049393375608,0.0847502378037118,0.07487575837776639,Graded-test temporal holdout,load_fraction,continuous,
A3058.xlsx,0.031818181818181836,0.039493066735028705,0.0377325037825537,0.040731297501123385,Graded-test temporal holdout,load_fraction,continuous,
A3059.xlsx,0.04236443381180224,0.0675011096953564,0.06940716664934672,0.07400739267623015,Graded-test temporal holdout,load_fraction,continuous,
A3060.xlsx,0.10304659498207887,0.08171448196817628,0.08090331007090253,0.07208939554088307,Graded-test temporal holdout,load_fraction,continuous,
A3062.xlsx,0.027910685805422684,0.023182900410031536,0.020692372683717757,0.018557182070669066,Graded-test temporal holdout,load_fraction,continuous,
A3063.xlsx,0.03758241758241756,0.028218511211064536,0.02555116032398024,0.025145161416691337,Graded-test temporal holdout,load_fraction,continuous,
A3066.xlsx,0.013556618819776711,0.03691204313912422,0.03843754521896325,0.041493954032509224,Graded-test temporal holdout,load_fraction,continuous,
A3071.xlsx,0.07020997375328086,0.055549884754170935,0.054210561962463384,0.04634933412892835,Graded-test temporal holdout,load_fraction,continuous,
A3072.xlsx,0.06818181818181818,0.04870011758974345,0.047507689834298844,0.03779331027880359,Graded-test temporal holdout,load_fraction,continuous,
A4000.xlsx,0.02182539682539681,0.010599390709494227,0.011711527019595084,0.009038214379526411,Graded-test temporal holdout,load_fraction,continuous,
A4001.xlsx,0.018730158730158732,0.02624914769917131,0.02665657129504196,0.028462717041111148,Graded-test temporal holdout,load_fraction,continuous,
A530.xlsx,0.0610679970436068,0.0418634751184925,0.04056659111897968,0.02986539771149581,Graded-test temporal holdout,load_fraction,continuous,
A531.xlsx,0.04938271604938269,0.04020911434408388,0.03787930931008573,0.03345553069119936,Graded-test temporal holdout,load_fraction,continuous,
A535.xlsx,0.15175789942145082,0.1310016950523245,0.13069596170196215,0.11794092409699464,Graded-test temporal holdout,load_fraction,continuous,
A536.xlsx,0.02282491944146079,0.030872868426066513,0.028660765465771988,0.030144713612909685,Graded-test temporal holdout,load_fraction,continuous,
A538.xlsx,0.025761124121779857,0.02345325217024145,0.023496980005603314,0.020803637287423928,Graded-test temporal holdout,load_fraction,continuous,
A543.xlsx,0.061250000000000006,0.04327813120381109,0.041516715364606535,0.03235520094562653,Graded-test temporal holdout,load_fraction,continuous,
A547.xlsx,0.008460471567267671,0.03487203493882186,0.036088570147721315,0.03920470945237142,Graded-test temporal holdout,load_fraction,continuous,
A577.xlsx,0.060778727445394115,0.04583617476560026,0.043893112589352516,0.0366750135563321,Graded-test temporal holdout,load_fraction,continuous,
A582.xlsx,0.041015624999999965,0.05286218863414199,0.05525912745399774,0.05442465399507034,Graded-test temporal holdout,load_fraction,continuous,
A600.xlsx,0.02857142857142855,0.05343378932702868,0.055443223385293956,0.05673993395624592,Graded-test temporal holdout,load_fraction,continuous,
,0.10904266572899268,0.08579304993455648,0.08681420925239898,0.08306800941257672,ACTES external validation,vo2r,continuous,1.0
,0.07365756577728233,0.05378821440461367,0.056263126429233826,0.04786649571237563,ACTES external validation,vo2r,continuous,2.0
,0.11127523044179972,0.0894193529165219,0.09920131110318965,0.086578404809361,ACTES external validation,vo2r,continuous,3.0
,0.111737136046078,0.0915280556096997,0.1001234377020758,0.09021062015531718,ACTES external validation,vo2r,continuous,4.0
,0.05825021571840384,0.044046711668565164,0.05430235501439719,0.0414707754182896,ACTES external validation,vo2r,continuous,5.0
,0.03390176315581351,0.030493229285906788,0.03625036890737569,0.031220997310727243,ACTES external validation,vo2r,continuous,6.0
,0.08427816797092301,0.07779274222888463,0.07328641509130147,0.08029960901179704,ACTES external validation,vo2r,continuous,7.0
,0.05857362985641934,0.04317144745747656,0.04656507729248392,0.04071701848032619,ACTES external validation,vo2r,continuous,8.0
