file,raw_hrr_exact,raw_hrr_within_one,raw_hrr_bin_error,scaled_linear_exact,scaled_linear_within_one,scaled_linear_bin_error,affine_linear_exact,affine_linear_within_one,affine_linear_bin_error,cychrr_t_exact,cychrr_t_within_one,cychrr_t_bin_error,dataset,target,ID
A547.xlsx,0.5714285714285714,1.0,0.42857142857142855,0.7142857142857143,1.0,0.2857142857142857,0.8571428571428571,1.0,0.14285714285714285,0.7142857142857143,1.0,0.2857142857142857,Graded-test temporal holdout,vo2r,
A577.xlsx,0.2222222222222222,0.8888888888888888,0.8888888888888888,0.6666666666666666,1.0,0.3333333333333333,0.4444444444444444,1.0,0.5555555555555556,0.6666666666666666,1.0,0.3333333333333333,Graded-test temporal holdout,vo2r,
A582.xlsx,0.625,1.0,0.375,0.25,1.0,0.75,0.375,1.0,0.625,0.25,1.0,0.75,Graded-test temporal holdout,vo2r,
A600.xlsx,1.0,1.0,0.0,0.42857142857142855,1.0,0.5714285714285714,0.8571428571428571,1.0,0.14285714285714285,0.42857142857142855,1.0,0.5714285714285714,Graded-test temporal holdout,vo2r,
A1085.xlsx,0.25,1.0,0.75,0.625,1.0,0.375,0.625,1.0,0.375,0.75,1.0,0.25,Graded-test temporal holdout,load_fraction,
A1086.xlsx,0.875,1.0,0.125,0.625,1.0,0.375,0.625,1.0,0.375,0.5,1.0,0.5,Graded-test temporal holdout,load_fraction,
A1088.xlsx,0.42857142857142855,1.0,0.5714285714285714,0.14285714285714285,1.0,0.8571428571428571,0.14285714285714285,1.0,0.8571428571428571,0.14285714285714285,1.0,0.8571428571428571,Graded-test temporal holdout,load_fraction,
A1096.xlsx,1.0,1.0,0.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,Graded-test temporal holdout,load_fraction,
A1106.xlsx,0.42857142857142855,1.0,0.5714285714285714,0.7142857142857143,1.0,0.2857142857142857,0.7142857142857143,1.0,0.2857142857142857,0.8571428571428571,1.0,0.14285714285714285,Graded-test temporal holdout,load_fraction,
A1108.xlsx,1.0,1.0,0.0,0.42857142857142855,1.0,0.5714285714285714,0.2857142857142857,1.0,0.7142857142857143,0.2857142857142857,1.0,0.7142857142857143,Graded-test temporal holdout,load_fraction,
A1116.xlsx,0.875,1.0,0.125,0.5,1.0,0.5,0.5,1.0,0.5,0.25,1.0,0.75,Graded-test temporal holdout,load_fraction,
A1117.xlsx,0.5,1.0,0.5,0.75,1.0,0.25,0.875,1.0,0.125,0.75,1.0,0.25,Graded-test temporal holdout,load_fraction,
A1120.xlsx,1.0,1.0,0.0,0.8571428571428571,1.0,0.14285714285714285,0.8571428571428571,1.0,0.14285714285714285,0.8571428571428571,1.0,0.14285714285714285,Graded-test temporal holdout,load_fraction,
A202.xlsx,0.25,1.0,0.75,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,Graded-test temporal holdout,load_fraction,
A203.xlsx,0.375,1.0,0.625,0.375,1.0,0.625,0.375,1.0,0.625,0.625,1.0,0.375,Graded-test temporal holdout,load_fraction,
A204.xlsx,0.375,1.0,0.625,0.375,1.0,0.625,0.375,1.0,0.625,0.5,1.0,0.5,Graded-test temporal holdout,load_fraction,
A205.xlsx,0.7142857142857143,1.0,0.2857142857142857,0.8571428571428571,1.0,0.14285714285714285,0.8571428571428571,1.0,0.14285714285714285,0.8571428571428571,1.0,0.14285714285714285,Graded-test temporal holdout,load_fraction,
A207.xlsx,0.42857142857142855,1.0,0.5714285714285714,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Graded-test temporal holdout,load_fraction,
A208.xlsx,0.2,1.0,0.8,0.6,1.0,0.4,0.6,1.0,0.4,0.6,1.0,0.4,Graded-test temporal holdout,load_fraction,
A220.xlsx,0.4444444444444444,1.0,0.5555555555555556,0.8888888888888888,1.0,0.1111111111111111,0.8888888888888888,1.0,0.1111111111111111,1.0,1.0,0.0,Graded-test temporal holdout,load_fraction,
A221.xlsx,1.0,1.0,0.0,0.75,1.0,0.25,0.75,1.0,0.25,0.75,1.0,0.25,Graded-test temporal holdout,load_fraction,
A226.xlsx,0.14285714285714285,1.0,0.8571428571428571,0.42857142857142855,1.0,0.5714285714285714,0.42857142857142855,1.0,0.5714285714285714,0.42857142857142855,1.0,0.5714285714285714,Graded-test temporal holdout,load_fraction,
A232.xlsx,0.5,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,Graded-test temporal holdout,load_fraction,
A236.xlsx,0.625,1.0,0.375,0.25,1.0,0.75,0.375,1.0,0.625,0.25,1.0,0.75,Graded-test temporal holdout,load_fraction,
A237.xlsx,1.0,1.0,0.0,0.625,1.0,0.375,0.625,1.0,0.375,0.5,1.0,0.5,Graded-test temporal holdout,load_fraction,
A238.xlsx,1.0,1.0,0.0,0.75,1.0,0.25,0.875,1.0,0.125,0.75,1.0,0.25,Graded-test temporal holdout,load_fraction,
