file,raw_hrr,scaled_linear,affine_linear,cychrr_t,dataset,target,hrr_band,ID
A3037.xlsx,0.017494123068031813,0.04348371058550412,0.053555292836053835,0.03135495667338876,Graded-test temporal holdout,vo2r,>=0.90,
A3039.xlsx,0.01760630120253559,0.058977418648331725,0.06821698240546031,0.05406459623594645,Graded-test temporal holdout,vo2r,>=0.90,
A3041.xlsx,0.027138263665594797,0.06510305907670155,0.0742025718162107,0.05594778682356155,Graded-test temporal holdout,vo2r,>=0.90,
A3043.xlsx,0.0064465408805032265,0.03616571008866676,0.046933815735857976,0.01598253713368103,Graded-test temporal holdout,vo2r,>=0.90,
A3045.xlsx,0.09139297266768209,0.04805536771735186,0.03639393840719729,0.08309545257495587,Graded-test temporal holdout,vo2r,>=0.90,
A3049.xlsx,0.018988789750629065,0.022601331129123325,0.032110612782485726,0.014662868416715102,Graded-test temporal holdout,vo2r,>=0.90,
A3051.xlsx,0.06744778299838122,0.03764980564435172,0.03858862385947659,0.05273693680588315,Graded-test temporal holdout,vo2r,>=0.90,
A3052.xlsx,0.018636117320327772,0.03211332687521001,0.0422874115076059,0.01838596841648582,Graded-test temporal holdout,vo2r,>=0.90,
A3053.xlsx,0.055118893642423616,0.01569038880069057,0.013424048688389034,0.036930343811944266,Graded-test temporal holdout,vo2r,>=0.90,
A3056.xlsx,0.05878744423199489,0.016357296899445206,0.013703331165890453,0.03564093779648142,Graded-test temporal holdout,vo2r,>=0.90,
A3057.xlsx,0.07450906992341651,0.03887372442850986,0.03733932463921963,0.04050478843630941,Graded-test temporal holdout,vo2r,>=0.90,
A3058.xlsx,0.002641802641802804,0.039871119071028804,0.05051689385988556,0.0214892564989273,Graded-test temporal holdout,vo2r,>=0.90,
A3059.xlsx,0.01576919176554109,0.025635424560777997,0.03491624450927128,0.017535487711187625,Graded-test temporal holdout,vo2r,>=0.90,
A3060.xlsx,0.012503125781445301,0.03247115364023493,0.04284858977209993,0.015722052387790526,Graded-test temporal holdout,vo2r,>=0.90,
A3062.xlsx,0.014907487297478594,0.028414009414318153,0.040055600313125606,0.00626362015377846,Graded-test temporal holdout,vo2r,>=0.90,
A3063.xlsx,0.020377315604045876,0.021662609650031528,0.03172585654205745,0.006649160865186354,Graded-test temporal holdout,vo2r,>=0.90,
A3066.xlsx,0.020261543429125006,0.021334760935741826,0.030851657979266534,0.015576409220368348,Graded-test temporal holdout,vo2r,>=0.90,
A3071.xlsx,0.04540834129837812,0.008416113906357547,0.010111407691150043,0.01855701099997281,Graded-test temporal holdout,vo2r,>=0.90,
A3072.xlsx,0.10152969231664044,0.05967896564606475,0.04984872991277112,0.07717394919880845,Graded-test temporal holdout,vo2r,>=0.90,
A4000.xlsx,0.06120960502692996,0.01887050951269048,0.012941850263463783,0.03954515467232006,Graded-test temporal holdout,vo2r,>=0.90,
A4001.xlsx,0.07893305171530973,0.03620373412259803,0.02529145282094125,0.0612911323589147,Graded-test temporal holdout,vo2r,>=0.90,
A530.xlsx,0.06680834723656676,0.035123367756825175,0.036217383563068306,0.05030293366718003,Graded-test temporal holdout,vo2r,>=0.90,
A531.xlsx,0.012066260612772162,0.04127761971035149,0.05082824205316633,0.032512842187350954,Graded-test temporal holdout,vo2r,>=0.90,
A535.xlsx,0.12813502580555178,0.0867447412951989,0.07748157197063321,0.09511071358004582,Graded-test temporal holdout,vo2r,>=0.90,
A536.xlsx,0.009017560512577238,0.03290343991758482,0.04282022265269331,0.01899578695986076,Graded-test temporal holdout,vo2r,>=0.90,
A538.xlsx,0.036357734134069175,0.006988901992619145,0.018661453821922414,0.02825504179241123,Graded-test temporal holdout,vo2r,>=0.90,
A543.xlsx,0.014215686274509809,0.030829391189587718,0.04105924106010728,0.014753479728448426,Graded-test temporal holdout,vo2r,>=0.90,
A547.xlsx,0.02418956722066845,0.019090986414933675,0.030682153079850893,0.014672022569365617,Graded-test temporal holdout,vo2r,>=0.90,
A577.xlsx,0.04215460072845467,0.012831055246731116,0.014211198263837821,0.011510161706734967,Graded-test temporal holdout,vo2r,>=0.90,
A582.xlsx,0.028839059865092664,0.013841479967810044,0.02469368808010608,0.01638194601729087,Graded-test temporal holdout,vo2r,>=0.90,
A600.xlsx,0.05521806853582556,0.011877403020173927,0.00021220441186342587,0.04698652138583881,Graded-test temporal holdout,vo2r,>=0.90,
A1085.xlsx,0.12107438016528924,0.10271972010333455,0.09825782467986927,0.09546040677568726,Graded-test temporal holdout,load_fraction,<0.60,
A1086.xlsx,0.11412429378531075,0.09409226266803618,0.09026249338280797,0.08616954495064849,Graded-test temporal holdout,load_fraction,<0.60,
A1088.xlsx,0.049857549857549865,0.06739663073246611,0.07216588147859188,0.07433338047995257,Graded-test temporal holdout,load_fraction,<0.60,
A1096.xlsx,0.0363636363636363,0.01936142493782565,0.01438985210528724,0.012637008381689222,Graded-test temporal holdout,load_fraction,<0.60,
A1106.xlsx,0.020685579196217524,0.01089910287320009,0.011914455665084644,0.009833509380815897,Graded-test temporal holdout,load_fraction,<0.60,
A1108.xlsx,0.026851851851851877,0.008272081842743556,0.008723898655001672,0.0069127046668418235,Graded-test temporal holdout,load_fraction,<0.60,
A1116.xlsx,0.043255131964809346,0.05928040180667724,0.06462014023309685,0.0656184355566647,Graded-test temporal holdout,load_fraction,<0.60,
A1117.xlsx,0.03846153846153849,0.018979837869463778,0.01494267362022611,0.011274777232224142,Graded-test temporal holdout,load_fraction,<0.60,
A1120.xlsx,0.024482109227871935,0.007369705486591234,0.0055134726280209505,0.0085213233428163,Graded-test temporal holdout,load_fraction,<0.60,
A202.xlsx,0.08101472995090014,0.05987501228715947,0.056462680525235454,0.05151420180845262,Graded-test temporal holdout,load_fraction,<0.60,
A203.xlsx,0.06676342525399132,0.0461789868925539,0.042557395193840775,0.03803779074754593,Graded-test temporal holdout,load_fraction,<0.60,
A204.xlsx,0.08948194662480374,0.0680123174008847,0.06472431455225253,0.05952102608637572,Graded-test temporal holdout,load_fraction,<0.60,
A205.xlsx,0.011982570806100231,0.026738994632326412,0.031735868911097975,0.03343685780064585,Graded-test temporal holdout,load_fraction,<0.60,
A207.xlsx,0.06601941747572809,0.04786171595301769,0.043325595664153393,0.040680300213454534,Graded-test temporal holdout,load_fraction,<0.60,
