family,parameter,participants,median_participant_rho
tilted_hrr,14.5,9,0.6432347800924544
tilted_hrr,14.6,9,0.6432347800924544
tilted_hrr,14.7,9,0.642539203147234
tilted_hrr,14.8,9,0.6410437127150104
tilted_hrr,14.9,9,0.6410437127150104
tilted_hrr,15.0,9,0.6410437127150104
power_hrr,1.0,9,0.422008346476664
power_hrr,1.1,9,0.4033986242935059
power_hrr,1.2,9,0.38234520121761
power_hrr,1.3,9,0.36617917992718996
power_hrr,1.4,9,0.35602842237274007
power_hrr,1.5,9,0.33121545946186276
power_hrr,1.6,9,0.32350840280015086
power_hrr,1.7,9,0.3417203882989618
power_hrr,1.8,9,0.3417203882989618
power_hrr,1.9,9,0.3417203882989618
power_hrr,2.0,9,0.3417203882989618
power_hrr,2.1,9,0.3417203882989618
power_hrr,2.2,9,0.3417203882989618
power_hrr,2.3,9,0.3417203882989618
power_hrr,2.4,9,0.40385136798968213
power_hrr,2.5,9,0.40385136798968213
power_hrr,2.6,9,0.40385136798968213
power_hrr,2.7,9,0.40385136798968213
power_hrr,2.8,9,0.40385136798968213
power_hrr,2.9,9,0.40385136798968213
power_hrr,3.0,9,0.40385136798968213
power_hrr,3.1,9,0.40385136798968213
power_hrr,3.2,9,0.40385136798968213
power_hrr,3.3,9,0.42870375986597026
power_hrr,3.4,9,0.5156871314329786
power_hrr,3.5,9,0.5156871314329786
power_hrr,3.6,9,0.5156871314329786
power_hrr,3.7,9,0.5156871314329786
power_hrr,3.8,9,0.5156871314329786
power_hrr,3.9,9,0.6026705029999871
power_hrr,4.0,9,0.6026705029999871
power_hrr,4.1,9,0.6026705029999871
power_hrr,4.2,9,0.6026705029999871
power_hrr,4.3,9,0.6026705029999871
power_hrr,4.4,9,0.6026705029999871
power_hrr,4.5,9,0.6026705029999871
power_hrr,4.6,9,0.6026705029999871
power_hrr,4.7,9,0.6026705029999871
power_hrr,4.8,9,0.6026705029999871
power_hrr,4.9,9,0.6026705029999871
power_hrr,5.0,9,0.6026705029999871
power_hrr,5.1,9,0.6523752867525634
power_hrr,5.2,9,0.6523752867525634
power_hrr,5.3,9,0.6523752867525634
power_hrr,5.4,9,0.6523752867525634
power_hrr,5.5,9,0.6523752867525634
power_hrr,5.6,9,0.6523752867525634
power_hrr,5.7,9,0.6523752867525634
power_hrr,5.8,9,0.6523752867525634
power_hrr,5.9,9,0.6523752867525634
power_hrr,6.0,9,0.6523752867525634
power_hrr,6.1,9,0.6523752867525634
power_hrr,6.2,9,0.6523752867525634
power_hrr,6.3,9,0.6523752867525634
power_hrr,6.4,9,0.6523752867525634
power_hrr,6.5,9,0.6523752867525634
power_hrr,6.6,9,0.6523752867525634
power_hrr,6.7,9,0.6523752867525634
power_hrr,6.8,9,0.6523752867525634
power_hrr,6.9,9,0.6523752867525634
power_hrr,7.0,9,0.6523752867525634
power_hrr,7.1,9,0.6523752867525634
power_hrr,7.2,9,0.6523752867525634
power_hrr,7.3,9,0.6523752867525634
power_hrr,7.4,9,0.6523752867525634
power_hrr,7.5,9,0.6523752867525634
power_hrr,7.6,9,0.6523752867525634
power_hrr,7.7,9,0.6523752867525634
power_hrr,7.8,9,0.6523752867525634
power_hrr,7.9,9,0.6523752867525634
power_hrr,8.0,9,0.6523752867525634
power_hrr,8.1,9,0.6523752867525634
power_hrr,8.2,9,0.6523752867525634
power_hrr,8.3,9,0.6523752867525634
power_hrr,8.4,9,0.6523752867525634
