hrr,raw_identity,cycling_transfer
0.7000000000000001,0.7000000000000001,0.6619385342789598
0.7020000000000001,0.7020000000000001,0.6638297872340425
0.704,0.704,0.6657210401891251
0.706,0.706,0.6676122931442079
0.708,0.708,0.6695035460992906
0.71,0.71,0.6713947990543734
0.712,0.712,0.6732860520094561
0.714,0.714,0.6751773049645389
0.716,0.716,0.6770685579196216
0.718,0.718,0.6789598108747044
0.72,0.72,0.6808510638297871
0.722,0.722,0.6827423167848699
0.724,0.724,0.6846335697399526
0.726,0.726,0.6865248226950353
0.728,0.728,0.6884160756501181
0.73,0.73,0.6903073286052008
0.732,0.732,0.6921985815602836
0.734,0.734,0.6940898345153663
0.736,0.736,0.6959810874704491
0.738,0.738,0.6978723404255318
0.74,0.74,0.6997635933806146
0.742,0.742,0.7016548463356973
0.744,0.744,0.70354609929078
0.746,0.746,0.7054373522458628
0.748,0.748,0.7073286052009455
0.75,0.75,0.7092198581560283
0.752,0.752,0.711111111111111
0.754,0.754,0.7130023640661938
0.756,0.756,0.7148936170212765
0.758,0.758,0.7167848699763593
0.76,0.76,0.718676122931442
0.762,0.762,0.7205673758865248
0.764,0.764,0.7224586288416075
0.766,0.766,0.7243498817966902
0.768,0.768,0.726241134751773
0.77,0.77,0.7281323877068557
0.772,0.772,0.7300236406619385
0.774,0.774,0.7319148936170212
0.776,0.776,0.733806146572104
0.778,0.778,0.7356973995271867
0.78,0.78,0.7375886524822695
0.782,0.782,0.7394799054373522
0.784,0.784,0.741371158392435
0.786,0.786,0.7432624113475177
0.788,0.788,0.7451536643026004
0.79,0.79,0.7470449172576832
0.792,0.792,0.7489361702127659
0.794,0.794,0.7508274231678487
0.796,0.796,0.7527186761229314
0.798,0.798,0.7546099290780142
0.8,0.8,0.7565011820330969
0.802,0.802,0.7583924349881797
0.804,0.804,0.7602836879432624
0.806,0.806,0.7621749408983451
0.808,0.808,0.7640661938534279
0.81,0.81,0.7659574468085106
0.812,0.812,0.7678486997635934
0.8140000000000001,0.8140000000000001,0.7697399527186761
0.8160000000000001,0.8160000000000001,0.7716312056737589
0.8180000000000001,0.8180000000000001,0.7735224586288416
0.8200000000000001,0.8200000000000001,0.7754137115839244
